"","Away Team","Home Team","Line","ATOR","ATDR","HTOR","HTDR","Away Score","Home Score","Predictor","Prediction","Line Result","Bet.Result"
"203","ARK","TEXAM",5,1,0.83,0.87,0.67,24,17,-2.99999999999999,"TEXAM","ARK","Win"
"204","LSU","UF",-6.5,0.82,0.69,0.91,0.68,33,29,-10,"UF","LSU","Win"
"205","FSU","MIAFL",6,1,0.75,0.89,0.64,45,17,0,"MIAFL","FSU","Win"
"206","USC","STAN",-10,1.1,0.87,1.1,0.81,35,37,-5.99999999999999,"USC","USC","Lose"
"207","MSU","MICH",-4,1.1,0.77,1.29,0.9,34,17,-5.99999999999999,"MICH","MSU","Win"
"208","MINN","WISC",-22,0.97,1.06,1.16,0.83,23,41,-42,"WISC","MINN","Win"
"209","SJSU","NEV",-37.5,0.77,1.04,1.21,0.83,13,35,-65,"NEV","SJSU","Win"
"210","COL","MIZZ",-11.5,0.89,0.85,0.99,0.67,0,26,-28,"MIZZ","MIZZ","Win"
"211","CSU","AFA",-24,0.69,1.12,1.15,0.83,27,49,-75,"AFA","CSU","Win"
"212","SYR","USF",-8,1.02,0.83,0.97,0.78,13,9,1.11022302462516e-14,"SYR","SYR","Lose"
"213","BC","NCSU",-9,0.7,0.69,0.96,0.84,17,44,-11,"NCSU","NCSU","Win"
"214","ILL","PSU",-8.5,0.87,0.83,0.82,0.83,33,13,5,"ILL","ILL","Lose"
"215","CMU","VT",-21,0.88,0.82,1,0.8,21,45,-14,"CMU","VT","Lose"
"216","WMU","BALL",-5.5,0.74,0.86,0.84,0.91,45,16,-4.99999999999999,"WMU","WMU","Lose"
"217","TEMP","NIU",-3.5,0.9,0.91,1.03,0.89,17,31,-15,"NIU","NIU","Win"
"218","BAY","TTU",-1,1.01,0.78,0.89,0.82,38,45,16,"BAY","TTU","Lose"
"219","TENN","UGA",-11,0.86,0.82,0.92,0.93,14,41,5,"TENN","UGA","Lose"
"220","BGSU","OHIO",-9,0.71,0.93,0.78,0.93,25,49,-7.00000000000001,"BGSU","OHIO","Lose"
"221","MEM","LOU",-17,0.75,1.01,0.87,0.91,0,56,-22,"LOU","LOU","Win"
"222","ARMY","TULANE",-1,1.12,0.88,0.78,0.83,41,23,29,"ARMY","ARMY","Lose"
"223","WKU","FIU",-9.5,0.87,1.23,0.76,0.91,21,28,-21,"FIU","WKU","Win"
"224","AKR","KENT",-17.5,0.81,1.13,0.66,0.77,17,28,-21,"KENT","AKR","Win"
"225","UNLV","WVU",-27.5,0.81,0.98,0.86,0.77,10,49,-26,"UNLV","WVU","Lose"
"226","PITT","ND",-6.5,0.93,0.86,0.8,0.88,17,23,15,"PITT","PITT","Lose"
"227","CLEM","UNC",-2,0.96,0.81,0.93,0.82,16,21,3.99999999999998,"CLEM","UNC","Lose"
"228","UVA","GT",-10,0.92,0.83,0.98,0.92,21,33,3.00000000000001,"UVA","GT","Lose"
"229","UCLA","CAL",-7.5,0.85,0.83,1.04,0.75,7,35,-27,"CAL","CAL","Win"
"230","USU","LT",-1.5,0.92,0.89,0.72,0.95,6,24,26,"USU","LT","Lose"
"231","SDSU","BYU",4.5,1.09,0.71,0.74,1.06,21,24,70,"SDSU","BYU","Lose"
"232","NAVY","WAKE",3.5,0.97,0.88,0.92,0.99,28,27,16,"NAVY","WAKE","Lose"
"233","ARK ST","NT",3.5,0.88,1.05,0.83,1.01,24,19,1,"NT","ARK ST","Win"
"234","EMU","VANDY",-25,0.86,1.19,0.85,0.91,6,52,-27,"VANDY","VANDY","Win"
"235","MIAOH","CIN",-17,0.78,0.84,0.87,0.93,3,45,1.11022302462516e-14,"MIAOH","CIN","Lose"
"236","FAU","ULM",-3.5,0.8,1.03,0.72,1.02,17,20,7.00000000000001,"FAU","FAU","Lose"
"237","NM","NMSU",-2.5,0.57,1.14,0.78,1.27,14,16,-8,"NMSU","NM","Win"
"238","MISS ST","HOU",5,0.97,0.81,1.06,0.8,47,24,-10,"HOU","MISS ST","Win"
"239","TULSA","SMU",-6.5,1.02,0.93,0.95,0.88,18,21,2,"TULSA","TULSA","Lose"
"240","RICE","UTEP",-9.5,0.74,1,0.96,0.85,24,44,-37,"UTEP","UTEP","Win"
"241","ASU","WASH",-1,0.91,0.88,0.97,1.06,24,14,12,"ASU","ASU","Lose"
"242","HAW","FRESNO",-10.5,1.02,0.94,1.04,0.97,49,27,1,"HAW","HAW","Lose"
"243","ECU","USM",-8,0.97,1.1,0.96,0.77,44,43,-32,"USM","ECU","Win"
"244","PUR","NW",-8.5,0.89,0.9,1.02,0.77,20,17,-26,"NW","PUR","Win"
"245","UCF","MARSH",6,0.94,0.72,0.77,1.02,35,14,47,"UCF","UCF","Lose"
"246","USF","WVU",-10,0.89,0.8,0.95,0.75,6,20,-11,"WVU","WVU","Win"
"247","KAN ST","KAN",3,1.02,0.92,0.86,1.02,59,7,26,"KAN ST","KAN ST","Lose"
"248","CIN","LOU",3,0.97,0.9,0.99,0.85,35,27,-7.00000000000001,"LOU","CIN","Win"
"249","ARK","AUB",-3.5,0.98,0.76,1.14,0.83,43,65,-9,"AUB","AUB","Win"
"250","OSU","WISC",3.5,1.12,0.62,1.19,0.86,18,31,17,"OSU","WISC","Lose"
"251","BOISE","SJSU",40,1.24,0.69,0.74,1.07,48,0,88,"BOISE","BOISE","Lose"
"252","BYU","TCU",-29,0.78,1.04,1.22,0.7,3,31,-78,"TCU","BYU","Win"
"253","TEX","NEB",-9.5,0.82,0.8,1.19,0.71,20,13,-46,"NEB","TEX","Win"
"254","ISU","OKLA",-22,0.86,0.94,0.96,0.77,0,52,-27,"OKLA","OKLA","Win"
"255","MISS","ALA",-20.5,1.04,0.94,1.1,0.72,10,23,-28,"ALA","MISS","Win"
"256","SC","UK",5,1.02,0.87,1.09,0.97,28,31,2.99999999999999,"UK","UK","Win"
"257","UTAH","WYO",20.5,1.18,0.75,0.76,1.07,30,6,74,"UTAH","UTAH","Lose"
"258","ILL","MSU",-7,0.89,0.82,1.12,0.77,6,26,-28,"MSU","MSU","Win"
